codeDepartement,codeCollectivite,nomCollectivite,fbExonerationPartielleVlAnciensEconomesTaux,fbNouvelleExonPartielleVlAnciensLogEconomesTaux,codeInsee,population,taux
72,083,CHEVILLE,,100,72083,357,100
72,103,COURDEMANCHE,,50,72103,614,50
72,118,DOLLON,,100,72118,1433,100
72,223,NOYEN SUR SARTHE,,50,72223,2585,50
72,253,ROEZE SUR SARTHE,,50,72253,2546,50
72,280,SAINT GEORGES DU BOIS,,50,72280,2228,50
72,299,SAINT MARS D'OUTILLE,,100,72299,2471,100
72,373,VIBRAYE,,50,72373,2508,50
73,065,CHAMBERY,,50,73065,60251,50
76,057,BARENTIN,,50,76057,12227,50
76,114,BOLBEC,,50,76114,11618,50
76,189,CRASVILLE LA MALLET,,100,76189,189,100
76,342,HATTENVILLE,,50,76342,707,50
76,414,MARTIN-EGLISE,,50,76414,1595,50
76,451,MONT SAINT AIGNAN,,50,76451,20188,50
76,476,PORT-JEROME-SUR-SEINE,,100,76476,10392,100
76,592,SAINT-JEAN-DE-FOLLEVILLE,,50,76592,798,50
77,026,BEAUCHERY SAINT MARTIN,,80,77026,374,80
77,101,CHATENAY SUR SEINE,,80,77101,1049,80
77,121,COLLEGIEN,,100,77121,3332,100
77,243,LAGNY SUR MARNE,,50,77243,21433,50
78,123,CARRIERES-SOUS-POISSY,,50,78123,19951,50
78,322,JOUY-EN-JOSAS,,50,78322,7985,50
78,361,MANTES-LA-JOLIE,,50,78361,44246,50
78,686,VIROFLAY,,50,78686,16943,50
78,688,VOISINS-LE-BRETONNEUX,,50,78688,10740,50
79,014,LORETZ-D'ARGENTON,,100,79014,2590,100
79,157,LOUZY,,100,79157,1292,100
79,203,PAS DE JEU,,50,79203,343,50
79,299,SAINT VARENT,,50,79299,2396,50
80,572,MORLANCOURT,,100,80572,378,100
81,114,LABASTIDE GABAUSSE,,50,81114,538,50
81,142,LEMPAUT,,50,81142,883,50
82,121,MONTAUBAN,,50,82121,62487,50
83,073,LE LUC,,50,83073,11124,50
86,082,VALENCE EN POITOU,,50,86082,4323,50
86,140,LUSSAC LES CHATEAUX,,100,86140,2261,100
87,126,ROCHECHOUART,,100,87126,3637,100
87,181,ST SULPICE-LAURIERE,,50,87181,804,50
88,011,ARCHES,,50,88011,1614,50
88,190,FRIZON,,100,88190,484,100
88,428,ST MICHEL SUR MEURTHE,,50,88428,1794,50
89,053,BRANCHES,,50,89053,435,50
89,378,SAUVIGNY-LE-BOIS,,80,89378,739,80
91,216,EPINAY SUR ORGE,,50,91216,10626,50
91,228,EVRY-COURCOURONNES,,50,91228,66700,50
91,377,MASSY,,50,91377,50597,50
91,477,PALAISEAU,,100,91477,36067,100
91,549,STE GENEVIEVE DES BOIS,,50,91549,35714,50
91,589,SAVIGNY SUR ORGE,,100,91589,37775,100
91,645,VERRIERES LE BUISSON,,50,91645,14772,50
91,661,VILLEBON SUR YVETTE,,50,91661,10353,50
93,014,CLICHY SOUS BOIS,,50,93014,29551,50
93,053,NOISY LE SEC,,100,93053,45915,100
94,065,RUNGIS,,50,94065,5669,50
95,127,CERGY,,50,95127,69578,50
95,572,ST OUEN L'AUMONE,,50,95572,25614,50
01,022,ARTEMARE,100,,01022,1141,100
01,419,THOIRY,50,,01419,6356,50
02,058,BEAURIEUX,100,,02058,813,100
02,480,MESBRECOURT RICHECOURT,50,,02480,318,50
02,748,TRELOU SUR MARNE,50,,02748,948,50
02,787,VERNEUIL SUR SERRE,50,,02787,255,50
03,082,COMMENTRY,50,,03082,6018,50
03,132,JALIGNY SUR BESBRE,100,,03132,556,100
03,152,LOUROUX DE BOUBLE,50,,03152,228,50
03,189,MONTVICQ,50,,03189,697,50
03,293,URCAY,100,,03293,296,100
04,040,LE CASTELLARD MELAN,100,,04040,62,100
04,178,SAINT-ETIENNE LES ORGUES,50,,04178,1297,50
04,216,THEZE,50,,04216,256,50
05,133,ST CHAFFREY,100,,05133,1504,100
05,161,LA SALLE LES ALPES,50,,05161,919,50
06,085,MOUGINS,50,,06085,19481,50
06,152,VALBONNE,100,,06152,12389,100
07,055,CHARMES SUR RHONE,100,,07055,3160,100
07,281,ST PERAY,50,,07281,7591,50
07,331,VALS LES BAINS,50,,07331,3479,50
08,137,DAMOUZY,50,,08137,428,50
08,346,PRIX LES MEZIERES,50,,08346,1387,50
08,365,RIMOGNE,50,,08365,1328,50
08,420,SIGNY LE PETIT,50,,08420,1219,50
09,157,LAROQUE D'OLMES,100,,09157,2414,100
10,239,MESNIL-SELLIERES,50,,10239,574,50
10,297,PONT-SAINTE-MARIE,50,,10297,5202,50
10,323,ROMILLY SUR SEINE,50,,10323,14751,50
11,129,ESPERAZA,100,,11129,1695,100
11,209,LUC SUR AUDE,50,,11209,253,50
11,221,LES MARTYS,100,,11221,307,100
11,360,SAINT-NAZAIRE D'AUDE,50,,11360,2104,50
11,438,VILLESISCLE,50,,11438,366,50
12,202,RODEZ,50,,12202,24136,50
13,015,BOUC BEL AIR,100,,13015,15367,100
13,039,FOS SUR MER,50,,13039,15694,50
13,047,ISTRES,50,,13047,44044,50
13,050,LAMBESC,50,,13050,9951,50
13,105,SENAS,50,,13105,6829,50
13,114,VENTABREN,50,,13114,5613,50
13,115,VERNEGUES,100,,13115,2158,100
14,118,CAEN,50,,14118,108398,50
14,328,HEROUVILLETTE,100,,14328,1353,100
14,341,IFS,50,,14341,11868,50
14,342,ISIGNY-SUR-MER,100,,14342,3549,100
14,379,LONGVILLERS,50,,14379,356,50
14,488,OUISTREHAM,50,,14488,9261,50
14,530,RANVILLE,50,,14530,2055,50
15,106,LIEUTADES,50,,15106,171,50
15,169,SAIGNES,50,,15169,821,50
15,267,YTRAC,50,,15267,4316,50
16,012,ANGEAC CHAMPAGNE,50,,16012,496,50
16,085,CHASSENEUIL SR BONNIEURE,50,,16085,3103,50
16,113,LA COURONNE,50,,16113,7759,50
17,043,BERNAY SAINT MARTIN,100,,17043,761,100
17,081,CHAMOUILLAC,50,,17081,369,50
17,157,FENIOUX,100,,17157,168,100
17,174,GENOUILLE,50,,17174,889,50
17,195,LA JARRIE AUDOUIN,100,,17195,272,100
17,200,LAGORD,50,,17200,7594,50
17,218,MARANS,100,,17218,4487,100
17,449,TONNAY CHARENTE,50,,17449,8248,50
18,126,LEVET,100,,18126,1367,100
18,165,NEUVY SUR BARANGEON,100,,18165,1114,100
18,243,SANTRANGES,50,,18243,438,50
19,076,ESPARTIGNAC,100,,19076,409,100
19,104,LAMONGERIE,100,,19104,124,100
19,249,ST YRIEIX LE DEJALAT,100,,19249,329,100
21,294,GERLAND,100,,21294,441,100
21,347,LEVERNOIS,50,,21347,364,50
21,530,ROUGEMONT,50,,21530,144,50
21,647,TRUGNY,50,,21647,121,50
22,026,CALORGUEN,100,,22026,722,100
22,208,PLOUASNE,100,,22208,1749,100
22,217,PLOUGRAS,50,,22217,428,50
22,218,PLOUGRESCANT,50,,22218,1198,50
22,325,SAINT-QUAY-PORTRIEUX,50,,22325,3253,50
22,339,TADEN,100,,22339,2599,100
23,008,AUBUSSON,100,,23008,3036,100
24,037,BERGERAC,100,,24037,26852,100
24,053,BOULAZAC ISLE MANOIRE,50,,24053,10628,50
24,067,LE BUGUE,50,,24067,2638,50
24,289,MONTCARET,50,,24289,1405,50
24,351,RIBAGNAC,50,,24351,334,50
24,498,ST SAUD LACOUSSIERE,50,,24498,823,50
25,560,THISE,100,,25560,2990,100
26,037,BEAUMONT LES VALENCE,50,,26037,4272,50
26,198,MONTELIMAR,50,,26198,40356,50
26,271,LA ROCHE DE GLUN,50,,26271,3579,50
27,065,BEUZEVILLE,50,,27065,4697,50
27,103,BOURG-ACHARD,50,,27103,4029,50
27,108,BOURTH,50,,27108,1166,50
27,125,CALLEVILLE,50,,27125,661,50
27,126,CAMPIGNY,50,,27126,1097,50
27,170,CORMEILLES,100,,27170,1136,100
27,298,GRAVERON SEMERVILLE,100,,27298,321,100
27,468,PONT AUTHOU,50,,27468,580,50
27,502,RUGLES,100,,27502,2199,100
27,543,SAINT GEORGES MOTEL,50,,27543,880,50
27,591,ST PIERRE DE CORMEILLES,50,,27591,580,50
27,606,SAINT SYMPHORIEN,50,,27606,470,50
27,646,LE TORPT,50,,27646,460,50
27,655,TOURVILLE SUR PONT AUDEM,50,,27655,722,50
27,697,VIRONVAY,50,,27697,331,50
28,035,BERCHERES LES PIERRES,100,,28035,1000,100
29,001,ARGOL,50,,29001,1043,50
29,016,BRASPARTS,50,,29016,1055,50
29,144,LA MARTYRE,50,,29144,756,50
29,198,PLOUIDER,50,,29198,1801,50
29,293,TREGUNC,50,,29293,7094,50
2B,303,SAN GIULIANO,50,,2B303,787,50
2B,311,SANTA MARIA POGGIO,50,,2B311,798,50
30,002,AIGREMONT,50,,30002,777,50
30,065,CANAULES ET ARGENTIERES,50,,30065,477,50
30,342,VENEJAN,50,,30342,1262,50
30,350,LE VIGAN,100,,30350,3786,100
31,066,BESSIERES,50,,31066,4238,50
31,144,CIERP GAUD,50,,31144,696,50
31,149,COLOMIERS,50,,31149,40916,50
31,157,CUGNAUX,100,,31157,20239,100
31,165,EAUNES,50,,31165,6525,50
31,246,LABARTHE INARD,50,,31246,872,50
31,304,LOUBENS LAURAGAIS,50,,31304,454,50
31,364,MONTBERON,50,,31364,3121,50
31,454,RIEUMES,100,,31454,3564,100
31,588,VILLENEUVE TOLOSANE,50,,31588,10704,50
33,039,BEGLES,50,,33039,30968,50
33,046,BERNOS,100,,33046,1134,100
33,154,EGLISOTTES ET CHALAURES,50,,33154,2172,50
33,318,PESSAC,50,,33318,66874,50
33,339,PRIGNAC-ET-MARCAMPS,100,,33339,1457,100
33,429,SAINT-LEGER-DE-BALSON,100,,33429,316,100
34,044,CABREROLLES,50,,34044,338,50
34,152,MAS DE LONDRES,100,,34152,673,100
35,024,BETTON,50,,35024,12775,50
35,044,BROUALAN,50,,35044,411,50
35,051,CESSON SEVIGNE,50,,35051,18076,50
35,125,LA GUERCHE DE BRETAGNE,50,,35125,4450,50
35,162,LOUVIGNE DU DESERT,100,,35162,3352,100
35,278,SAINT GREGOIRE,50,,35278,9992,50
35,334,THORIGNE FOUILLARD,50,,35334,8631,50
36,128,MONTIERCHAUME,50,,36128,1637,50
36,207,SAINT-PLANTAIRE,50,,36207,602,50
37,018,BALLAN-MIRE,50,,37018,8347,50
37,142,MAILLE,50,,37142,559,50
38,081,CHARANTONNAY,50,,38081,1993,50
38,179,GIERES,100,,38179,7353,100
38,426,ST MAXIMIN,100,,38426,672,100
38,448,ST PRIM,50,,38448,1454,50
38,503,LA TERRASSE,50,,38503,2463,50
38,535,VERNAS,100,,38535,266,100
39,434,POLIGNY,50,,39434,4007,50
40,002,AMOU,50,,40002,1555,50
40,228,POMAREZ,50,,40228,1605,50
40,283,SAINT-VINCENT-DE-PAUL,50,,40283,3384,50
41,049,CHEMERY,100,,41049,944,100
41,147,LES MONTILS,100,,41147,1925,100
42,022,BONSON,100,,42022,4478,100
42,048,CHANDON,50,,42048,1440,50
42,094,FEURS,50,,42094,8370,50
42,186,RIVE DE GIER,50,,42186,15457,50
42,268,VEZELIN SUR LOIRE,100,,42268,816,100
42,332,VILLEREST,50,,42332,5175,50
44,003,ANCENIS ST GEREON EX ANCENIS,50,,44003,11346,50
44,009,BASSE GOULAINE,50,,44009,9617,50
44,014,LE BIGNON,50,,44014,3967,50
44,074,INDRE,50,,44074,4172,50
44,097,MESQUER,50,,44097,2156,50
44,150,ST AIGNAN DE GRANDLIEU,50,,44150,3991,50
45,067,CHAINGY,50,,45067,4081,50
45,068,CHALETTE SUR LOING,50,,45068,12958,50
45,122,DAMPIERRE EN BURLY,100,,45122,1454,100
45,261,REBRECHIEN,50,,45261,1396,50
45,268,ST AIGNAN LE JAILLARD,50,,45268,602,50
45,284,SAINT JEAN DE BRAYE,50,,45284,22088,50
46,063,CASTELNAU MONTRATIER,50,,46063,1827,50
46,262,LENDOU-EN-QUERCY,50,,46262,620,50
47,200,PARRANQUET,50,,47200,115,50
47,323,VILLENEUVE SUR LOT,50,,47323,22004,50
48,067,GABRIAC,50,,48067,102,50
48,095,MENDE,50,,48095,12322,50
49,020,BEAUCOUZE,50,,49020,5618,50
49,292,VAL DU LAYON,50,,49292,3508,50
50,239,THEREVAL,100,,50239,1781,100
51,025,AUMENANCOURT,100,,51025,1118,100
51,046,BEINE NAUROY,100,,51046,987,100
51,086,BREUIL SUR VESLE,50,,51086,326,50
51,197,LA CROIX EN CHAMPAGNE,50,,51197,86,50
51,507,SAINTE MENEHOULD,100,,51507,4166,100
52,550,WASSY,50,,52550,2776,50
53,039,LE BOURGNEUF LA FORET,50,,53039,1726,50
53,046,LE BURET,50,,53046,313,50
53,097,EVRON,50,,53097,8380,50
54,138,COSNES-ET-ROMAIN,50,,54138,2805,50
54,176,EINVILLE-AU-JARD,50,,54176,1062,50
54,452,REILLON,50,,54452,73,50
54,504,SERROUVILLE,50,,54504,674,50
54,528,TOUL,50,,54528,15570,50
55,025,BAALON,100,,55025,268,100
55,117,CLERMONT EN ARGONNE,50,,55117,1428,50
55,122,COMMERCY,100,,55122,5332,100
55,144,DAMMARIE SUR SAULX,100,,55144,369,100
55,300,LONGEAUX,100,,55300,219,100
55,500,SPINCOURT,50,,55500,815,50
55,502,STENAY,100,,55502,2428,100
55,519,TRONVILLE EN BARROIS,50,,55519,1319,50
56,048,LE CROISTY,50,,56048,742,50
56,134,MOHON,100,,56134,988,100
57,132,CHATEAU SALINS,50,,57132,2294,50
57,337,HOSTE,50,,57337,572,50
57,510,NOISSEVILLE,50,,57510,1103,50
57,515,NOVEANT SUR MOSELLE,50,,57515,1861,50
57,672,THIONVILLE,50,,57672,42778,50
59,027,AUBRY DU HAINAUT,50,,59027,1715,50
59,043,BAILLEUL,50,,59043,14734,50
59,062,BEAURIEUX,50,,59062,167,50
59,063,BEAUVOIS EN CAMBRESIS,50,,59063,1948,50
59,397,MERCKEGHEM,50,,59397,609,50
59,430,NEUVILLY,50,,59430,1091,50
59,437,NOYELLES LES SECLIN,50,,59437,839,50
59,512,ROUBAIX,100,,59512,99507,100
59,624,VILLERS OUTREAUX,50,,59624,2137,50
60,042,BAILLEVAL,50,,60042,1477,50
60,309,HENONVILLE,50,,60309,909,50
61,077,CERISE,50,,61077,853,50
61,279,MIEUXCE,50,,61279,611,50
61,324,PASSAIS VILLAGES,100,,61324,1159,100
61,327,PERVENCHERES,100,,61327,342,100
61,342,RAI,100,,61342,1437,100
62,433,HERICOURT,100,,62433,79,100
62,490,LATTRE SAINT QUENTIN,100,,62490,318,100
62,497,LEFOREST,100,,62497,7120,100
62,498,LENS,100,,62498,32697,100
62,569,MERCK SAINT LIEVIN,100,,62569,664,100
62,620,NORRENT FONTES,100,,62620,1372,100
62,704,RENTY,100,,62704,589,100
62,905,ZUDAUSQUES,100,,62905,1061,100
63,003,AMBERT,50,,63003,6556,50
63,284,PONT-DU-CHATEAU,50,,63284,12422,50
63,395,SAINT SANDOUX,50,,63395,996,50
64,064,ASASP ARROS,50,,64064,492,50
64,289,LABASTIDE CLAIRENCE,50,,64289,987,50
64,426,ORIN,50,,64426,266,50
64,485,SAINT JEAN PIED DE PORT,50,,64485,1487,50
65,460,VIC-EN-BIGORRE,100,,65460,4830,100
66,114,MONTESCOT,50,,66114,1595,50
66,117,MONT LOUIS,50,,66117,150,50
66,129,ORTAFFA,100,,66129,1889,100
66,222,VERNET LES BAINS,50,,66222,1441,50
67,149,FURCHHAUSEN,100,,67149,391,100
67,180,HAGUENAU,100,,67180,36070,100
67,184,HATTEN,50,,67184,1923,50
67,232,KEFFENACH,100,,67232,204,100
67,311,MUTTERSHOLTZ,50,,67311,2288,50
67,330,NIEDERROEDERN,50,,67330,894,50
67,421,SAALES,50,,67421,827,50
67,472,SOUFFLENHEIM,50,,67472,4775,50
67,500,URMATT,50,,67500,1476,50
67,520,WASSELONNE,100,,67520,5777,100
68,044,LE BONHOMME,50,,68044,753,50
68,090,FERRETTE,50,,68090,848,50
68,137,HINDLINGEN,50,,68137,631,50
68,225,MUNCHHOUSE,50,,68225,1538,50
68,298,SAINTE-MARIE-AUX-MINES,50,,68298,4945,50
69,027,BRIGNAIS,50,,69027,12330,50
69,103,JULIENAS,50,,69103,883,50
69,207,ST GERMAIN AU MONT D'OR,60,,69207,3037,60
69,231,ST PIERRE LA PALUD,50,,69231,2586,50
69,278,GENAY,50,,69278,5632,50
70,055,BAUDONCOURT,50,,70055,484,50
70,550,VESOUL,50,,70550,15306,50
71,212,GENELARD,100,,71212,1407,100
71,252,LALHEUE,100,,71252,350,100
71,499,SANVIGNES LES MINES,50,,71499,4265,50
72,329,SAVIGNE L'EVEQUE,50,,72329,4042,50
72,362,LE TRONCHET,50,,72362,169,50
73,039,BELMONT-TRAMONET,100,,73039,512,100
73,235,SAINT FRANCOIS LONGCHAMP,50,,73235,487,50
74,008,AMBILLY,50,,74008,6269,50
74,021,ARTHAZ PONT NOTRE DAME,50,,74021,1670,50
74,101,DINGY-EN-VUACHE,100,,74101,787,100
74,124,FEIGERES,50,,74124,1842,50
74,139,HABERE-LULLIN,50,,74139,1091,50
74,164,MARIGNIER,50,,74164,6432,50
74,243,SAINT-JULIEN-EN-GENEVOIS,50,,74243,15925,50
74,312,VOUGY,100,,74312,1622,100
75,056,VILLE DE PARIS,100,,75056,2113705,100
76,095,BIHOREL,50,,76095,8299,50
76,142,BREMONTIER MERVAL,50,,76142,430,50
76,317,GRAINVILLE YMAUVILLE,50,,76317,423,50
76,478,NOTRE-DAME-DU-PARC,100,,76478,185,100
76,505,POMMEREUX,100,,76505,94,100
76,513,QUEVILLON,50,,76513,591,50
76,556,SAINT-ANTOINE-LA-FORET,50,,76556,1101,50
76,693,LE TILLEUL,50,,76693,666,50
77,031,BERNAY VILBERT,50,,77031,991,50
77,099,CHATEAU LANDON,50,,77099,3150,50
77,179,FERICY,50,,77179,613,50
77,211,GRANDPUITS BAILLY CARROI,50,,77211,1014,50
77,260,LONGUEVILLE,50,,77260,1802,50
77,373,PONTAULT COMBAULT,50,,77373,38941,50
77,418,SAINT LOUP DE NAUD,50,,77418,859,50
77,494,VERNOU LA CELLE SUR SEIN,50,,77494,2621,50
78,117,BUC,50,,78117,5868,50
78,466,ORGEVAL,50,,78466,7092,50
78,575,SAINT-REMY-LES-CHEVREUSE,50,,78575,7747,50
78,643,VERNOUILLET,50,,78643,9953,50
79,134,GLENAY,50,,79134,539,50
79,161,LUZAY,50,,79161,621,50
79,189,NANTEUIL,50,,79189,1702,50
79,196,PLAINE-ET-VALLEES,50,,79196,2334,50
79,274,SAINT MARTIN DE MACON,50,,79274,320,50
79,331,TOURTENAY,100,,79331,126,100
80,364,FRIAUCOURT,50,,80364,692,50
80,368,FRIVILLE-ESCARBOTIN,100,,80368,4394,100
80,397,GUEUDECOURT,50,,80397,96,50
80,529,MERELESSART,100,,80529,187,100
80,624,PIERREGOT,50,,80624,282,50
81,060,CARMAUX,50,,81060,9927,50
81,082,LE DOURN,100,,81082,116,100
81,120,LABRUGUIERE,50,,81120,6567,50
81,139,LAUTREC,50,,81139,1690,50
81,218,PUYGOUZON,100,,81218,3549,100
81,222,REALMONT,50,,81222,3542,50
81,225,RIVIERES,50,,81225,1065,50
81,293,TAURIAC,50,,81293,396,50
83,029,CALLIAN,50,,83029,3794,50
83,044,COMPS SUR ARTUBY,50,,83044,346,50
83,045,CORRENS,100,,83045,891,100
83,049,CUERS,50,,83049,12841,50
83,055,FAYENCE,50,,83055,6024,50
85,151,MORTAGNE SUR SEVRE,50,,85151,6065,50
85,194,LES SABLES D'OLONNE,50,,85194,48740,50
85,234,ST JEAN DE MONTS,50,,85234,8809,50
86,074,CHIRE EN MONTREUIL,70,,86074,923,70
86,084,COULONGES,100,,86084,232,100
86,137,LOUDUN,100,,86137,6791,100
86,180,NOUAILLE MAUPERTUIS,100,,86180,2955,100
86,209,LES ROCHES PREMARIE,50,,86209,2174,50
86,214,SAINT BENOIT,50,,86214,7306,50
86,263,SMARVES,50,,86263,2941,50
87,037,LA CHAPELLE-MONTBRANDEIX,50,,87037,264,50
87,074,LES GRANDS CHEZEAUX,50,,87074,227,50
87,087,LUSSAC-LES-EGLISES,50,,87087,463,50
87,201,VERNEUIL-SUR-VIENNE,50,,87201,4940,50
88,139,DOMBASLE EN XAINTOIS,100,,88139,124,100
88,174,FOMEREY,50,,88174,141,50
88,321,NEUFCHATEAU,50,,88321,6507,50
88,356,LES POULIERES,50,,88356,302,50
88,367,RAMBERVILLERS,50,,88367,5032,50
88,447,SAULXURES SUR MOSELOTTE,50,,88447,2537,50
88,469,THIRAUCOURT,50,,88469,100,50
89,006,ANCY-LE-LIBRE,50,,89006,141,50
89,077,CHAMPS-SUR-YONNE,50,,89077,1534,50
89,096,CHEMILLY-SUR-YONNE,50,,89096,895,50
89,130,DEUX RIVIERES,50,,89130,1272,50
89,418,TONNERRE,50,,89418,4268,50
90,049,FOUSSEMAGNE,100,,90049,885,100
90,099,VALDOIE,50,,90099,5193,50
91,044,BALLAINVILLIERS,50,,91044,4838,50
91,105,BREUILLET,50,,91105,9023,50
91,326,JUVISY SUR ORGE,50,,91326,18978,50
91,345,LONGJUMEAU,50,,91345,20470,50
91,432,MORANGIS,50,,91432,13773,50
91,534,SACLAY,50,,91534,4380,50
91,538,SAINT AUBIN,100,,91538,671,100
91,552,ST GERMAIN LES ARPAJON,50,,91552,11577,50
92,014,BOURG LA REINE,50,,92014,21140,50
92,022,CHAVILLE,50,,92022,20198,50
92,063,RUEIL MALMAISON,50,,92063,80842,50
92,072,SEVRES,50,,92072,22782,50
93,031,EPINAY SUR SEINE,50,,93031,53564,50
93,032,GAGNY,50,,93032,40790,50
93,072,STAINS,50,,93072,40600,50
94,041,IVRY SUR SEINE,50,,94041,64526,50
94,046,MAISONS-ALFORT,50,,94046,57422,50
94,076,VILLEJUIF,50,,94076,58142,50
95,298,HARAVILLIERS,50,,95298,582,50
971,24,SAINT-CLAUDE,50,,97124,10432,50
01,081,CHAMPFROMIER,,50,01081,709,50
04,017,AUZET,,50,04017,102,50
04,110,MALLEMOISSON,,100,04110,968,100
07,214,ST APPOLLINAIRE DE RIAS,,100,07214,199,100
10,020,AVANT-LES-MARCILLY,,50,10020,513,50
10,029,BALNOT SUR LAIGNES,,50,10029,157,50
11,108,LA COURTETE,,50,11108,48,50
15,075,GIRGOLS,,100,15075,71,100
18,127,LIGNIERES,,100,18127,1325,100
25,283,GOUX SOUS LANDET,,100,25283,60,100
25,479,RANG,,100,25479,389,100
27,056,BERNAY,,50,27056,9801,50
