codeDepartement,codeCollectivite,nomCollectivite,fbExonerationPartielleVlAnciensEconomesTaux,fbNouvelleExonPartielleVlAnciensLogEconomesTaux,codeInsee,population,taux
07,083,DUNIERE SUR EYRIEUX,,50,07083,437,50
07,118,LABOULE,,100,07118,144,100
07,341,VILLENEUVE DE BERG,,100,07341,3031,100
08,003,AIGLEMONT,,100,08003,1675,100
08,105,CHARLEVILLE MEZIERES,,50,08105,45634,50
08,188,GESPUNSART,,100,08188,969,100
08,363,REVIN,,50,08363,5795,50
12,032,BOUSSAC,,100,12032,605,100
14,174,CONDE-EN-NORMANDIE,,50,14174,6018,50
16,052,BORS DE MONTMOREAU,,50,16052,227,50
16,146,GARAT,,50,16146,2111,50
16,213,MAZEROLLES,,100,16213,305,100
19,028,BORT LES ORGUES,,100,19028,2487,100
19,040,CHAMPAGNAC LA PRUNE,,50,19040,150,50
19,123,MALEMORT,,100,19123,7995,100
19,275,USSEL,,100,19275,9174,100
23,249,ST YRIEIX LA MONTAGNE,,100,23249,221,100
24,097,CHAMPAGNE FONTAINE,,50,24097,343,50
24,098,CHAMPCEVINEL,,100,24098,3077,100
24,295,MONTREM,,50,24295,1203,50
25,463,PONT DE ROIDE,,50,25463,3971,50
29,150,MOELAN SUR MER,,50,29150,6763,50
32,107,CONDOM,,50,32107,6454,50
32,252,MIELAN,,50,32252,1132,50
32,455,TRONCENS,,50,32455,162,50
33,090,CANEJAN,,50,33090,5836,50
33,198,GUITRES,,50,33198,1637,50
33,243,LIBOURNE,,100,33243,24668,100
33,449,SAINT-MEDARD-EN-JALLES,,50,33449,32749,50
34,023,BALARUC LES BAINS,,100,34023,7136,100
34,131,LAURET,,50,34131,621,50
35,315,ST SULPICE LA FORET,,80,35315,1557,80
38,002,LES ADRETS,,50,38002,1072,50
38,062,LA BUISSIERE,,100,38062,791,100
38,068,CHAMPAGNIER,,50,38068,1506,50
38,158,EYBENS,,60,38158,10095,60
38,509,LA TOUR DU PIN,,50,38509,8123,50
39,130,NANCHEZ,,100,39130,761,100
39,445,PUBLY,,50,39445,276,50
39,487,ST LAURENT EN GRANDVAUX,,50,39487,1818,50
39,500,SALINS LES BAINS,,100,39500,2430,100
44,043,CLISSON,,50,44043,7459,50
44,109,NANTES,,50,44109,325070,50
44,132,PORNICHET,,100,44132,12530,100
44,162,ST HERBLAIN,,50,44162,50561,50
44,215,VERTOU,,50,44215,26048,50
46,127,GOURDON,,50,46127,4080,50
47,070,CONDEZAYGUES,,50,47070,837,50
47,087,ENGAYRAC,,50,47087,159,50
47,150,LONGUEVILLE,,50,47150,375,50
47,201,LE PASSAGE,,50,47201,9360,50
47,255,ST MARTIN DE BEAUVILLE,,50,47255,156,50
47,301,SEYCHES,,100,47301,1057,100
51,454,REIMS,,50,51454,178478,50
51,549,SOMME YEVRE,,50,51549,112,50
52,006,ALLICHAMPS,,50,52006,362,50
52,234,HACOURT,,100,52234,41,100
55,463,ST MIHIEL,,50,55463,3848,50
57,104,BOUST,,50,57104,1159,50
57,124,CATTENOM,,50,57124,2593,50
57,606,SAINT AVOLD,,50,57606,14828,50
59,017,ARMENTIERES,,50,59017,26107,50
59,126,CANTIN,,100,59126,1755,100
59,178,DOUAI,,50,59178,39833,50
59,308,HONDEGHEM,,50,59308,915,50
59,385,MARPENT,,50,59385,2649,50
59,433,NIEURLET,,50,59433,906,50
59,459,PETITE FORET,,50,59459,5058,50
59,463,PITGAM,,100,59463,992,100
60,043,BAILLY,,100,60043,605,100
60,057,BEAUVAIS,,100,60057,55906,100
60,123,CAMPREMY,,100,60123,476,100
60,176,CREPY EN VALOIS,,50,60176,14243,50
60,177,CRESSONSACQ,,50,60177,437,50
60,369,LONGUEIL STE MARIE,,50,60369,1952,50
61,145,DOMFRONT EN POIRAIE,,50,61145,4131,50
61,483,BAGNOLES DE L'ORNE NORMANDIE,,50,61483,2698,50
62,132,BILLY BERCLAU,,50,62132,5076,50
62,164,BOURLON,,100,62164,1148,100
62,270,DIVION,,50,62270,6830,50
62,323,FAMPOUX,,50,62323,1243,50
62,523,LOISON SOUS LENS,,100,62523,5202,100
62,548,MARCK,,50,62548,10468,50
62,817,TILLOY LES MOFFLAINES,,75,62817,1564,75
63,050,BRASSAC LES MINES,,50,63050,3380,50
63,219,MAZAYE,,50,63219,708,50
63,268,PARDINES,,50,63268,301,50
63,348,SAINT-GENES-LA-TOURETTE,,100,63348,189,100
65,179,FRECHENDETS,,100,65179,31,100
65,440,TARBES,,50,65440,44529,50
65,473,VILLELONGUE,,100,65473,353,100
67,218,ILLKIRCH-GRAFFENSTADEN,,100,67218,27339,100
68,042,BLOTZHEIM,,50,68042,5077,50
68,145,HORBOURG-WIHR,,50,68145,6247,50
68,166,KINGERSHEIM,,100,68166,13265,100
68,271,RIEDISHEIM,,50,68271,12154,50
68,275,RIMBACH-PRES-MASEVAUX,,100,68275,433,100
68,297,SAINT-LOUIS,,50,68297,22530,50
68,359,WATTWILLER,,50,68359,1648,50
69,013,ARNAS,,50,69013,4408,50
69,149,OULLINS-PIERRE-BENITE,,50,69149,37928,50
71,230,GUEUGNON,,50,71230,6547,50
