CODE DEPARTEMENT,Code Collectivité,Nom de la collectivité,FB - Exonération partielle VL log. anciens économes en énergie (art. 1383 OB CGI) - Durée,FB - Exonération partielle VL log. anciens économes en énergie (art. 1383 OB CGI) - Taux,FB - Exonération partielle VL log. anciens économes en énergie (art. 1383 OB CGI) - Date,SIREN EPCI,Nom EPCI,population,code,taux
30,002,AIGREMONT,3,50,15/10/09,200034411,CC du Piémont Cévenol,773,30002,50
2B,303,SAN GIULIANO,3,50,22/09/17,200034205,CC de la Costa Verde,764,2B303,50
29,144,LA MARTYRE,3,50,19/09/15,242900801,CA du Pays de Landerneau-Daoulas,760,29144,50
74,101,DINGY-EN-VUACHE,3,100,19/01/21,247400690,CC du Genevois,756,74101,100
17,043,BERNAY SAINT MARTIN,3,100,26/09/08,200041689,CC Vals de Saintonge Communauté,753,17043,100
68,044,LE BONHOMME,3,50,05/03/10,246800551,CC de la Vallée de Kaysersberg,749,68044,50
56,048,LE CROISTY,3,50,12/09/13,245614417,CC Roi Morvan Communauté,732,56048,50
89,378,SAUVIGNY-LE-BOIS,3,50,30/09/08,200039758,"CC Avallon, Vézelay, Morvan",730,89378,50
22,026,CALORGUEN,3,100,07/12/19,200068989,CA Dinan Agglomération,729,22026,100
27,655,TOURVILLE SUR PONT AUDEM,3,50,02/09/08,200065787,CC de Pont-Audemer / Val de Risle,725,27655,50
76,342,HATTENVILLE,3,50,29/11/12,200010700,CA Caux Seine Agglo,709,76342,50
31,144,CIERP GAUD,3,50,11/10/18,200072635,CC Pyrénées Haut Garonnaises,707,31144,50
03,189,MONTVICQ,3,50,12/09/08,200071512,CC Commentry Montmarault Néris Communauté,702,03189,50
63,219,MAZAYE,3,50,27/07/07,200069169,CC Dômes Sancy Artense,702,63219,50
80,364,FRIAUCOURT,3,50,16/12/13,247600588,CC des Villes Soeurs,688,80364,50
91,538,SAINT AUBIN,3,100,19/04/22,200056232,CA Communauté Paris-Saclay,681,91538,100
76,693,LE TILLEUL,3,50,20/09/11,200084952,CU Le Havre Seine Métropole,676,76693,50
62,569,MERCK SAINT LIEVIN,3,100,02/08/21,200069037,CA du Pays de Saint-Omer,674,62569,100
