CODE DEPARTEMENT,Code Collectivité,Nom de la collectivité,FB - Exonération partielle VL log. anciens économes en énergie (art. 1383 OB CGI) - Durée,FB - Exonération partielle VL log. anciens économes en énergie (art. 1383 OB CGI) - Taux,FB - Exonération partielle VL log. anciens économes en énergie (art. 1383 OB CGI) - Date,SIREN EPCI,Nom EPCI,population,code,taux
91,549,STE GENEVIEVE DES BOIS,3,50,05/04/23,200057859,CA Coeur d'Essonne Agglomération,35846,91549,50
67,180,HAGUENAU,3,100,28/04/10,200067874,CA de Haguenau,35715,67180,100
91,477,PALAISEAU,3,100,12/04/21,200056232,CA Communauté Paris-Saclay,34893,91477,100
62,498,LENS,3,100,25/06/19,246200364,CA de Lens - Liévin,32618,62498,100
33,449,SAINT-MEDARD-EN-JALLES,3,50,28/06/23,243300316,Bordeaux Métropole,32538,33449,50
33,039,BEGLES,3,50,28/09/17,243300316,Bordeaux Métropole,30813,33039,50
93,014,CLICHY SOUS BOIS,3,50,23/05/19,200054781,Métropole du Grand Paris,29735,93014,50
67,218,ILLKIRCH-GRAFFENSTADEN,3,100,21/09/23,246700488,Eurométropole de Strasbourg,27118,67218,100
69,149,OULLINS,3,50,08/07/21,200046977,Métropole de Lyon,27113,69149,50
24,037,BERGERAC,3,100,24/06/10,200070647,CA Bergeracoise,26323,24037,100
44,215,VERTOU,3,50,15/12/22,244400404,Nantes Métropole,26002,44215,50
59,017,ARMENTIERES,3,50,24/09/15,200093201,Métropole Européenne de Lille,25581,59017,50
95,572,ST OUEN L'AUMONE,3,50,11/02/21,249500109,CA de Cergy-Pontoise,25023,95572,50
33,243,LIBOURNE,3,100,19/09/22,200070092,CA du Libournais,24557,33243,100
12,202,RODEZ,3,50,24/09/21,241200187,CA Rodez Agglomération,24207,12202,50
68,297,SAINT-LOUIS,3,50,27/09/18,200066058,CA Saint-Louis Agglomération,22698,68297,50
92,072,SEVRES,3,50,02/07/09,200054781,Métropole du Grand Paris,22618,92072,50
45,284,SAINT JEAN DE BRAYE,3,50,29/09/23,244500468,Orléans Métropole,21700,45284,50
47,323,VILLENEUVE SUR LOT,3,50,29/03/07,200023307,CA du Grand Villeneuvois,21629,47323,50
77,243,LAGNY SUR MARNE,3,50,14/11/18,247700594,CA Marne et Gondoire,21191,77243,50
92,014,BOURG LA REINE,3,50,27/09/23,200054781,Métropole du Grand Paris,20810,92014,50
91,345,LONGJUMEAU,3,50,30/03/21,200056232,CA Communauté Paris-Saclay,20620,91345,50
31,157,CUGNAUX,3,100,24/02/20,243100518,Toulouse Métropole,20341,31157,100
76,451,MONT SAINT AIGNAN,3,50,20/09/07,200023414,Métropole Rouen Normandie,20066,76451,50
92,022,CHAVILLE,3,50,27/03/23,200054781,Métropole du Grand Paris,19991,92022,50
06,085,MOUGINS,3,50,21/09/09,200039915,CA Cannes Pays de Lérins,19677,06085,50
91,326,JUVISY SUR ORGE,3,50,27/06/19,200054781,Métropole du Grand Paris,18424,91326,50
78,123,CARRIERES-SOUS-POISSY,3,50,26/09/23,200059889,CU Grand Paris Seine et Oise,18316,78123,50
35,051,CESSON SEVIGNE,3,50,26/09/07,243500139,Rennes Métropole,17716,35051,50
78,686,VIROFLAY,3,50,09/03/23,247800584,CA Versailles Grand Parc (CAVGP),16960,78686,50
54,528,TOUL,3,50,24/09/08,200070563,CC Terres Touloises,15849,54528,50
74,243,SAINT-JULIEN-EN-GENEVOIS,3,50,21/04/22,247400690,CC du Genevois,15840,74243,50
13,039,FOS SUR MER,3,50,08/04/10,200054807,Métropole d'Aix-Marseille-Provence,15469,13039,50
13,015,BOUC BEL AIR,3,100,19/09/16,200054807,Métropole d'Aix-Marseille-Provence,15248,13015,100
42,186,RIVE DE GIER,3,50,25/03/10,244200770,Saint-Etienne Métropole,15214,42186,50
70,550,VESOUL,3,50,23/09/19,247000011,CA de Vesoul,15130,70550,50
57,606,SAINT AVOLD,3,50,03/09/07,200067502,CA Saint-Avold Synergie,15045,57606,50
59,043,BAILLEUL,3,50,22/09/11,200040947,CA Coeur de Flandre,14869,59043,50
10,323,ROMILLY SUR SEINE,3,50,06/09/08,200000545,CC des Portes de Romilly sur Seine,14766,10323,50
91,645,VERRIERES LE BUISSON,3,50,25/09/23,200056232,CA Communauté Paris-Saclay,14597,91645,50
60,176,CREPY EN VALOIS,3,50,30/05/18,246000871,CC du Pays de Valois,14217,60176,50
91,432,MORANGIS,3,50,27/03/17,200054781,Métropole du Grand Paris,13211,91432,50
68,166,KINGERSHEIM,3,100,19/09/18,200066009,CA Mulhouse Alsace Agglomération,13178,68166,100
06,152,VALBONNE,3,100,06/07/09,240600585,CA de Sophia Antipolis,12754,06152,100
45,068,CHALETTE SUR LOING,3,50,13/10/08,244500203,CA Montargoise et Rives du Loing (AME),12728,45068,50
35,024,BETTON,3,50,07/07/21,243500139,Rennes Métropole,12695,35024,50
83,049,CUERS,3,50,27/09/23,200027100,CC Méditerranée Porte des Maures,12550,83049,50
63,284,PONT-DU-CHATEAU,3,50,08/07/22,246300701,Clermont Auvergne Métropole,12459,63284,50
69,027,BRIGNAIS,3,50,17/09/09,246900757,CC de la Vallée du Garon (CCVG),12388,69027,50
48,095,MENDE,3,50,06/04/23,244800405,CC Coeur de Lozère,12316,48095,50
68,271,RIEDISHEIM,3,50,29/09/22,200066009,CA Mulhouse Alsace Agglomération,12163,68271,50
76,057,BARENTIN,3,50,18/09/23,247600646,CC Caux - Austreberthe,12154,76057,50
44,132,PORNICHET,3,100,22/09/21,244400644,CA de la Région Nazairienne et de l'Estuaire (CARENE),12121,44132,100
14,341,IFS,3,50,01/07/19,200065597,CU Caen la Mer,11981,14341,50
76,114,BOLBEC,3,50,24/06/09,200010700,CA Caux Seine Agglo,11635,76114,50
91,552,ST GERMAIN LES ARPAJON,3,50,07/06/07,200057859,CA Coeur d'Essonne Agglomération,11305,91552,50
44,003,ANCENIS ST GEREON EX ANCENIS,3,50,24/09/18,244400552,CC du Pays d'Ancenis,11099,44003,50
83,073,LE LUC,3,50,25/09/09,248300550,CC Coeur du Var,11053,83073,50
91,216,EPINAY SUR ORGE,3,50,27/09/22,200056232,CA Communauté Paris-Saclay,10760,91216,50
78,688,VOISINS-LE-BRETONNEUX,3,50,25/09/23,200058782,CA de Saint Quentin en Yvelines,10721,78688,50
971,24,SAINT-CLAUDE,3,50,26/09/08,249710070,CA Grand Sud Caraïbe,10700,97124,50
24,053,BOULAZAC ISLE MANOIRE,3,50,13/07/21,200040392,CA Le Grand Périgueux,10697,24053,50
62,548,MARCK,3,50,30/09/21,200090751,CA Grand Calais Terres et Mers,10494,62548,50
76,476,PORT-JEROME-SUR-SEINE,3,100,03/12/20,200010700,CA Caux Seine Agglo,10387,76476,100
31,588,VILLENEUVE TOLOSANE,3,50,14/09/22,243100518,Toulouse Métropole,10369,31588,50
91,661,VILLEBON SUR YVETTE,3,50,25/09/14,200056232,CA Communauté Paris-Saclay,10322,91661,50
78,643,VERNOUILLET,3,50,30/09/21,200059889,CU Grand Paris Seine et Oise,10025,78643,50
13,050,LAMBESC,3,50,30/09/09,200054807,Métropole d'Aix-Marseille-Provence,9991,13050,50
38,158,EYBENS,3,60,30/09/21,200040715,Grenoble-Alpes-Métropole,9974,38158,60
81,060,CARMAUX,3,50,22/04/14,200040905,CC Carmausin-Ségala,9898,81060,50
35,278,SAINT GREGOIRE,3,50,25/09/23,243500139,Rennes Métropole,9837,35278,50
44,009,BASSE GOULAINE,3,50,26/06/08,244400404,Nantes Métropole,9555,44009,50
47,201,LE PASSAGE,3,50,21/09/09,200096956,CA Agglomération d'Agen,9373,47201,50
14,488,OUISTREHAM,3,50,13/09/21,200065597,CU Caen la Mer,9331,14488,50
19,275,USSEL,3,100,12/06/19,200066744,CC Haute-Corrèze Communauté,9159,19275,100
91,105,BREUILLET,3,50,24/09/08,200057859,CA Coeur d'Essonne Agglomération,8873,91105,50
85,234,ST JEAN DE MONTS,3,50,20/09/11,248500258,CC Océan Marais de Monts,8741,85234,50
35,334,THORIGNE FOUILLARD,3,50,13/03/23,243500139,Rennes Métropole,8582,35334,50
53,097,EVRON,3,50,23/09/19,200033298,CC des Coëvrons,8508,53097,50
42,094,FEURS,3,50,04/07/07,200065894,CC de Forez-Est,8338,42094,50
37,018,BALLAN-MIRE,3,50,24/09/10,243700754,Tours Métropole Val de Loire,8217,37018,50
76,095,BIHOREL,3,50,05/07/22,200023414,Métropole Rouen Normandie,8199,76095,50
17,449,TONNAY CHARENTE,3,50,30/08/07,200041762,CA Rochefort Océan,8195,17449,50
38,509,LA TOUR DU PIN,3,50,23/04/19,200068567,CC Les Vals du Dauphiné,8138,38509,50
19,123,MALEMORT,3,100,22/09/16,200043172,CA du Bassin de Brive,8027,19123,100
78,322,JOUY-EN-JOSAS,3,50,26/09/22,247800584,CA Versailles Grand Parc (CAVGP),7928,78322,50
16,113,LA COURONNE,3,50,30/09/11,200071827,CA du Grand Angoulême,7753,16113,50
78,575,ST-REMY-LES-CHEVREUSE,3,50,23/06/09,200033173,CC de la Haute Vallée de Chevreuse,7747,78575,50
07,281,ST PERAY,3,50,25/03/21,200041366,CC Rhône Crussol,7588,07281,50
44,043,CLISSON,3,50,22/09/23,200067635,CA Clisson Sèvre et Maine Agglo,7465,44043,50
17,200,LAGORD,3,50,20/09/23,241700434,CA de La Rochelle,7387,17200,50
86,214,SAINT BENOIT,3,50,27/06/07,200069854,CU du Grand Poitiers,7307,86214,50
62,497,LEFOREST,3,100,28/09/11,246200299,CA d'Hénin-Carvin,7179,62497,100
38,179,GIERES,3,100,26/03/18,200040715,Grenoble-Alpes-Métropole,7161,38179,100
34,023,BALARUC LES BAINS,3,100,25/09/14,200066355,CA Sète Agglopôle Méditerranée,7073,34023,100
29,293,TREGUNC,3,50,19/09/08,242900769,CA Concarneau Cornouaille Agglomération,7050,29293,50
78,466,ORGEVAL,3,50,27/09/10,200059889,CU Grand Paris Seine et Oise,6948,78466,50
62,270,DIVION,3,50,23/09/11,200072460,"CA de Béthune-Bruay, Artois-Lys Romane",6893,62270,50
13,105,SENAS,3,50,25/09/08,200054807,Métropole d'Aix-Marseille-Provence,6838,13105,50
29,150,MOELAN SUR MER,3,50,30/09/20,242900694,CA Quimperlé Communauté,6756,29150,50
86,137,LOUDUN,3,100,16/12/15,248600447,CC du Pays Loudunais,6743,86137,100
63,003,AMBERT,3,50,20/09/11,200070761,CC Ambert Livradois Forez,6616,63003,50
71,230,GUEUGNON,3,50,24/09/09,200070316,"CC Entre Arroux, Loire et Somme",6616,71230,50
88,321,NEUFCHATEAU,3,50,23/09/13,200068559,CC de l'Ouest Vosgien,6580,88321,50
81,120,LABRUGUIERE,3,50,28/09/17,248100430,CA de Castres Mazamet,6538,81120,50
31,165,EAUNES,3,50,24/09/15,200068641,CA Le Muretain Agglo,6510,31165,50
32,107,CONDOM,3,50,31/03/15,243200417,CC de la Tenarèze,6466,32107,50
74,164,MARIGNIER,3,50,17/09/21,200000172,CC Faucigny - Glières,6401,74164,50
68,145,HORBOURG-WIHR,3,50,14/09/09,246800726,CA Colmar Agglomération,6301,68145,50
74,008,AMBILLY,3,50,16/07/09,200011773,CA Annemasse-Les Voirons-Agglomération,6166,74008,50
14,174,CONDE-EN-NORMANDIE,3,50,25/09/17,200068799,CC Intercom de la Vire au Noireau,6157,14174,50
01,419,THOIRY,3,50,26/09/23,240100750,CA du Pays de Gex,6136,01419,50
85,151,MORTAGNE SUR SEVRE,3,50,25/09/14,248500662,CC du Pays de Mortagne,6064,85151,50
03,082,COMMENTRY,3,50,07/06/22,200071512,CC Commentry Montmarault Néris Communauté,6059,03082,50
78,117,BUC,3,50,25/09/23,247800584,CA Versailles Grand Parc (CAVGP),5920,78117,50
33,090,CANEJAN,3,50,11/07/19,243301165,CC Jalle-Eau-Bourde,5916,33090,50
83,055,FAYENCE,3,50,28/09/09,200004802,CC du Pays de Fayence,5890,83055,50
08,363,REVIN,3,50,28/09/23,240800821,"CC Ardenne, Rives de Meuse",5815,08363,50
67,520,WASSELONNE,3,100,15/09/14,200068864,CC de la Mossig et du Vignoble,5774,67520,100
94,065,RUNGIS,3,50,23/06/23,200054781,Métropole du Grand Paris,5647,94065,50
49,020,BEAUCOUZE,3,50,15/10/20,244900015,CU Angers Loire Métropole,5557,49020,50
69,278,GENAY,3,50,25/09/08,200046977,Métropole de Lyon,5520,69278,50
13,114,VENTABREN,3,50,28/09/11,200054807,Métropole d'Aix-Marseille-Provence,5484,13114,50
55,122,COMMERCY,3,100,07/09/20,200066157,CC de Commercy - Void - Vaucouleurs,5319,55122,100
62,523,LOISON SOUS LENS,3,100,05/07/23,246200364,CA de Lens - Liévin,5255,62523,100
90,099,VALDOIE,3,50,11/10/07,200069052,CA Grand Belfort,5236,90099,50
42,332,VILLEREST,3,50,25/09/14,200035731,CA Roannais Agglomération,5170,42332,50
10,297,PONT-SAINTE-MARIE,3,50,22/06/23,200069250,CA Troyes Champagne Métropole,5143,10297,50
62,132,BILLY BERCLAU,3,50,17/12/15,200072460,"CA de Béthune-Bruay, Artois-Lys Romane",5059,62132,50
59,459,PETITE FORET,3,50,19/09/12,245901160,CA Valenciennes Métropole,5058,59459,50
68,298,SAINTE-MARIE-AUX-MINES,3,50,18/07/12,246800395,CC du Val d'Argent,5049,68298,50
88,367,RAMBERVILLERS,3,50,11/06/09,200005957,CC de la Région de Rambervillers,5045,88367,50
68,042,BLOTZHEIM,3,50,08/09/22,200066058,CA Saint-Louis Agglomération,4947,68042,50
87,201,VERNEUIL-SUR-VIENNE,3,50,19/09/13,248719312,CU Limoges Métropole,4924,87201,50
65,460,VIC-EN-BIGORRE,3,100,25/09/23,200072106,CC Adour Madiran,4822,65460,100
67,472,SOUFFLENHEIM,3,50,25/09/08,200041325,CC du Pays Rhénan,4788,67472,50
91,044,BALLAINVILLIERS,3,50,29/09/22,200056232,CA Communauté Paris-Saclay,4752,91044,50
27,065,BEUZEVILLE,3,50,11/12/08,200066827,CC du Pays de Honfleur-Beuzeville,4689,27065,50
17,218,MARANS,3,100,10/09/19,200041499,CC Aunis Atlantique,4500,17218,100
80,368,FRIVILLE-ESCARBOTIN,3,100,23/12/14,200070944,CC du Vimeu,4486,80368,100
86,082,VALENCE EN POITOU,3,50,12/11/20,200070035,CC du Civraisien en Poitou,4368,86082,50
42,022,BONSON,3,100,07/07/22,200065886,CA Loire Forez Agglomération (LFA),4363,42022,100
35,125,LA GUERCHE DE BRETAGNE,3,50,28/09/23,200039022,CA Vitré Communauté,4347,35125,50
91,534,SACLAY,3,50,18/03/09,200056232,CA Communauté Paris-Saclay,4323,91534,50
15,267,YTRAC,3,50,25/09/09,241500230,CA du Bassin d'Aurillac,4322,15267,50
89,418,TONNERRE,3,50,24/09/14,200039642,CC Le Tonnerrois en Bourgogne,4301,89418,50
71,499,SANVIGNES LES MINES,3,50,14/12/20,247100290,CU Le Creusot Montceau-les-Mines,4295,71499,50
69,013,ARNAS,3,50,12/07/21,200040590,CA Villefranche Beaujolais Saône,4215,69013,50
26,037,BEAUMONT LES VALENCE,3,50,14/09/07,200068781,CA Valence Romans Agglo,4201,26037,50
31,066,BESSIERES,3,50,19/09/18,243100773,CC Val'Aïgo,4197,31066,50
51,507,SAINTE MENEHOULD,3,100,13/06/07,200042703,CC de l'Argonne Champenoise,4166,51507,100
61,145,DOMFRONT EN POIRAIE,3,50,29/09/16,200071520,CC Domfront Tinchebray Interco,4155,61145,50
44,074,INDRE,3,50,28/09/23,244400404,Nantes Métropole,4130,44074,50
72,329,SAVIGNE L'EVEQUE,3,50,01/09/09,200072684,CC Le Gesnois Bilurien,4054,72329,50
45,067,CHAINGY,3,50,30/03/17,200070183,CC des Terres du Val de Loire,4047,45067,50
25,463,PONT DE ROIDE,3,50,29/09/23,200065647,CA Pays de Montbéliard Agglomération,4030,25463,50
27,103,BOURG-ACHARD,3,50,18/12/08,200066405,CC Roumois Seine,4014,27103,50
39,434,POLIGNY,3,50,05/07/13,200071595,"CC Arbois, Poligny, Salins, Coeur du Jura",4011,39434,50
44,150,ST AIGNAN DE GRANDLIEU,3,50,22/06/09,244400404,Nantes Métropole,3986,44150,50
44,014,LE BIGNON,3,50,18/09/23,244400438,CC Grand Lieu Communauté,3957,44014,50
46,127,GOURDON,3,50,22/10/14,244600482,CC Quercy - Bouriane,3946,46127,50
55,463,ST MIHIEL,3,100,31/07/14,245500327,CC du Sammiellois,3924,55463,100
30,350,LE VIGAN,3,100,25/09/18,243000270,CC du Pays Viganais,3706,30350,100
87,126,ROCHECHOUART,3,100,27/09/19,200059400,CC Porte Océane du Limousin,3681,87126,100
83,029,CALLIAN,3,50,29/03/12,200004802,CC du Pays de Fayence,3646,83029,50
31,454,RIEUMES,3,100,19/09/23,200068815,CC Coeur de Garonne,3612,31454,100
14,342,ISIGNY-SUR-MER,3,100,20/09/22,200066801,CC Isigny-Omaha Intercom,3570,14342,100
81,218,PUYGOUZON,3,100,26/09/16,248100737,CA de l'Albigeois (C2A),3540,81218,100
81,222,REALMONT,3,50,26/09/19,200034049,CC Centre Tarn,3529,81222,50
07,331,VALS LES BAINS,3,50,16/09/13,200073245,CC du Bassin d'Aubenas,3485,07331,50
26,271,LA ROCHE DE GLUN,3,50,09/09/08,200073096,CA Arche Agglo,3478,26271,50
49,292,VAL DU LAYON,3,50,06/09/16,200071553,CC Loire Layon Aubance,3464,49292,50
63,050,BRASSAC LES MINES,3,50,02/12/15,200070407,CA Agglo Pays d'Issoire,3376,63050,50
40,283,SAINT-VINCENT-DE-PAUL,3,50,23/09/08,244000675,CA du Grand Dax,3360,40283,50
77,121,COLLEGIEN,3,100,20/04/23,247700594,CA Marne et Gondoire,3334,77121,100
35,162,LOUVIGNE DU DESERT,3,100,23/09/21,200072452,CA Fougères Agglomération,3331,35162,100
22,325,SAINT-QUAY-PORTRIEUX,3,50,05/09/13,200069409,CA Saint-Brieuc Armor Agglomération,3175,22325,50
07,055,CHARMES SUR RHONE,3,100,29/09/09,200041366,CC Rhône Crussol,3139,07055,100
31,364,MONTBERON,3,50,28/08/07,243100815,CC des Coteaux Bellevue,3110,31364,50
23,008,AUBUSSON,3,100,23/09/14,200044014,CC Creuse Grand Sud,3108,23008,100
16,085,CHASSENEUIL SR BONNIEURE,3,50,28/09/23,200072049,CC de Charente Limousine,3101,16085,50
77,099,CHATEAU LANDON,3,50,19/12/14,200023919,CC Gâtinais Val de Loing,3085,77099,50
07,341,VILLENEUVE DE BERG,3,100,25/09/21,240700815,CC Berg et Coiron,3029,07341,100
24,098,CHAMPCEVINEL,3,100,25/09/23,200040392,CA Le Grand Périgueux,3029,24098,100
25,560,THISE,3,100,13/09/13,242500361,CU Grand Besançon Métropole,3000,25560,100
69,207,ST GERMAIN AU MONT D'OR,3,60,27/09/21,200046977,Métropole de Lyon,2978,69207,60
86,180,NOUAILLE MAUPERTUIS,3,100,27/09/11,200043628,CC des Vallées du Clain,2926,86180,100
86,263,SMARVES,3,50,08/09/15,200043628,CC des Vallées du Clain,2925,86263,50
52,550,WASSY,3,50,09/09/08,200068666,CA de Saint-Dizier Der et Blaise,2777,52550,50
54,138,COSNES-ET-ROMAIN,3,50,29/06/09,245400262,CA Grand Longwy Agglomération,2775,54138,50
61,483,BAGNOLES DE L'ORNE NORMANDIE,3,50,26/09/22,200068443,CC Andaine - Passais,2704,61483,50
59,385,MARPENT,3,50,15/09/09,200043396,CA Maubeuge Val de Sambre,2654,59385,50
24,067,LE BUGUE,3,50,19/09/14,200041168,CC de la Vallée de l'Homme,2613,24067,50
72,223,NOYEN SUR SARTHE,3,50,06/09/07,200040475,CC LBN Communauté,2613,72223,50
57,124,CATTENOM,3,50,27/02/08,245700695,CC de Cattenom et Environs,2606,57124,50
77,494,VERNOU LA CELLE SUR SEIN,3,50,21/09/10,247700032,CC Moret Seine et Loing,2606,77494,50
79,014,LORETZ-D'ARGENTON,3,100,27/08/18,247900798,CC du Thouarsais,2599,79014,100
69,231,ST PIERRE LA PALUD,3,50,19/12/18,246900625,CC du Pays de l'Arbresle (CCPA),2587,69231,50
72,253,ROEZE SUR SARTHE,3,50,12/07/22,247200629,CC du Val de Sarthe,2569,72253,50
22,339,TADEN,3,100,31/03/21,200068989,CA Dinan Agglomération,2563,22339,100
19,028,BORT LES ORGUES,3,100,14/05/19,200066744,CC Haute-Corrèze Communauté,2541,19028,100
88,447,SAULXURES SUR MOSELOTTE,3,50,28/09/17,200096634,CC des Hautes Vosges,2510,88447,50
72,373,VIBRAYE,3,50,05/09/22,200072692,CC des Vallées de la Braye et de l'Anille,2493,72373,50
38,503,LA TERRASSE,3,50,27/09/12,200018166,CC Le Grésivaudan,2481,38503,50
39,500,SALINS LES BAINS,3,100,29/02/16,200071595,"CC Arbois, Poligny, Salins, Coeur du Jura",2471,39500,100
55,502,STENAY,3,100,14/09/17,200066132,CC du Pays de Stenay et du Val Dunois,2471,55502,100
72,299,SAINT MARS D'OUTILLE,3,100,06/09/19,247200421,CC du Sud Est Manceau,2455,72299,100
79,299,SAINT VARENT,3,50,16/06/08,247900798,CC du Thouarsais,2400,79299,50
09,157,LAROQUE D'OLMES,3,100,29/09/09,240900464,CC du Pays d'Olmes,2371,09157,100
79,196,PLAINE-ET-VALLEES,3,50,05/09/19,247900798,CC du Thouarsais,2351,79196,50
57,132,CHATEAU SALINS,3,50,26/04/11,245701206,CC du Saulnois,2297,57132,50
86,140,LUSSAC LES CHATEAUX,3,100,26/09/22,200070043,CC Vienne et Gartempe,2268,86140,100
67,311,MUTTERSHOLTZ,3,50,24/09/15,246700967,CC de Sélestat,2228,67311,50
27,502,RUGLES,3,100,03/09/19,200066462,CC Interco Normandie Sud Eure,2199,27502,100
72,280,SAINT GEORGES DU BOIS,3,50,24/09/12,247200132,CU Le Mans Métropole,2173,72280,50
59,624,VILLERS OUTREAUX,3,50,08/09/20,200030633,CA du Caudrésis et du Catésis,2156,59624,50
33,154,EGLISOTTES ET CHALAURES,3,50,22/09/08,200070092,CA du Libournais,2147,33154,50
86,209,LES ROCHES PREMARIE,3,50,16/09/08,200043628,CC des Vallées du Clain,2124,86209,50
13,115,VERNEGUES,3,100,26/09/13,200054807,Métropole d'Aix-Marseille-Provence,2123,13115,100
16,146,GARAT,3,50,22/03/23,200071827,CA du Grand Angoulême,2118,16146,50
44,097,MESQUER,3,50,24/09/07,244400610,CA de la Presqu'île de Guérande Atlantique (CAP ATLANTIQUE),2112,44097,50
11,360,SAINT-NAZAIRE D'AUDE,3,50,30/09/21,241100593,CA Le Grand Narbonne,2091,11360,50
60,369,LONGUEIL STE MARIE,3,50,24/09/20,246000897,CC de la Plaine d'Estrées,2010,60369,50
38,081,CHARANTONNAY,3,50,30/09/13,243801255,CC Collines Isère Nord Communauté,1991,38081,50
14,530,RANVILLE,3,50,25/09/08,200065563,CC Normandie-Cabourg-Pays d'Auge,1982,14530,50
59,063,BEAUVOIS EN CAMBRESIS,3,50,14/03/14,200030633,CA du Caudrésis et du Catésis,1959,59063,50
41,147,LES MONTILS,3,100,29/08/08,200030385,CA de Blois ''Agglopolys'',1904,41147,100
67,184,HATTEN,3,50,17/12/12,200040178,CC de l'Outre-Forêt,1904,67184,50
57,515,NOVEANT SUR MOSELLE,3,50,29/06/16,200070738,CC Mad et Moselle,1858,57515,50
46,063,CASTELNAU MONTRATIER,3,50,25/09/19,200039519,CC du Quercy Blanc,1835,46063,50
39,487,ST LAURENT EN GRANDVAUX,3,50,31/08/17,243900610,CC la Grandvallière,1820,39487,50
29,198,PLOUIDER,3,50,26/09/08,242900793,CC Communauté Lesneven Côte des Légendes,1816,29198,50
74,124,FEIGERES,3,50,09/09/10,247400690,CC du Genevois,1816,74124,50
88,428,ST MICHEL SUR MEURTHE,3,50,15/09/15,200071066,CA de Saint-Dié-des-Vosges,1809,88428,50
77,260,LONGUEVILLE,3,50,24/09/08,200037133,CC du Provinois,1800,77260,50
66,129,ORTAFFA,3,100,08/07/10,200043602,"CC des Albères, de la Côte Vermeille et de l'Illibéris",1798,66129,100
50,239,THEREVAL,3,100,05/09/17,200066389,CA Saint-Lô Agglo,1787,50239,100
59,126,CANTIN,3,50,03/09/14,200044618,CA Douaisis Agglo,1770,59126,50
22,208,PLOUASNE,3,100,25/02/21,200068989,CA Dinan Agglomération,1729,22208,100
59,027,AUBRY DU HAINAUT,3,50,29/09/12,245901160,CA Valenciennes Métropole,1726,59027,50
53,039,LE BOURGNEUF LA FORET,3,50,11/09/07,200083392,CA Laval Agglomération,1725,53039,50
79,189,NANTEUIL,3,50,12/09/08,200041994,CC Haut Val de Sèvre,1705,79189,50
11,129,ESPERAZA,3,100,18/04/16,200043776,CC Pyrénées audoises,1703,11129,100
81,139,LAUTREC,3,50,01/09/18,200034056,CC du Lautrécois et du Pays d'Agout,1694,81139,50
68,359,WATTWILLER,3,50,18/09/09,200036465,CC de Thann-Cernay,1668,68359,50
08,003,AIGLEMONT,3,100,14/09/09,200041630,CA Ardenne Métropole,1659,08003,100
74,021,ARTHAZ PONT NOTRE DAME,3,50,02/09/08,247400583,CC Arve et Salève,1657,74021,50
36,128,MONTIERCHAUME,3,50,19/12/20,243600327,CA Châteauroux Métropole,1651,36128,50
33,198,GUITRES,3,50,01/12/16,200070092,CA du Libournais,1622,33198,50
88,011,ARCHES,3,50,27/09/18,200068757,CA d'Epinal,1621,88011,50
66,114,MONTESCOT,3,50,16/09/10,246600282,CC Sud-Roussillon,1612,66114,50
76,414,MARTIN-EGLISE,3,50,27/08/07,247600786,CA de la Région Dieppoise,1600,76414,50
40,228,POMAREZ,3,50,07/07/15,244000881,CC Coteaux et Vallées des Luys,1579,40228,50
74,312,VOUGY,3,100,30/05/12,200000172,CC Faucigny - Glières,1579,74312,100
40,002,AMOU,3,50,31/05/07,244000881,CC Coteaux et Vallées des Luys,1560,40002,50
68,225,MUNCHHOUSE,3,50,18/09/08,200066025,CC Alsace Rhin Brisach,1557,68225,50
89,077,CHAMPS-SUR-YONNE,3,50,27/09/18,200067114,CA de l'Auxerrois,1555,89077,50
62,817,TILLOY LES MOFFLAINES,3,100,13/12/18,200033579,CU d'Arras,1519,62817,100
05,133,ST CHAFFREY,3,100,27/07/09,240500439,CC du Briançonnais,1515,05133,100
35,315,ST SULPICE LA FORET,3,80,07/04/21,243500139,Rennes Métropole,1499,35315,80
64,485,SAINT JEAN PIED DE PORT,3,50,03/03/08,200067106,CA du Pays Basque,1499,64485,50
60,042,BAILLEVAL,3,50,22/05/08,246000129,CC du Liancourtois,1472,60042,50
42,048,CHANDON,3,50,27/01/09,200035202,CC Charlieu-Belmont,1458,42048,50
67,500,URMATT,3,50,21/02/17,246700306,CC de la Vallée de la Bruche,1448,67500,50
66,222,VERNET LES BAINS,3,50,08/09/08,200049211,CC Conflent-Canigó,1445,66222,50
72,118,DOLLON,3,100,21/02/18,200072692,CC des Vallées de la Braye et de l'Anille,1439,72118,100
55,117,CLERMONT EN ARGONNE,3,50,13/10/11,200066116,CC Argonne-Meuse,1438,55117,50
45,122,DAMPIERRE EN BURLY,3,100,24/09/15,200070100,CC du Val de Sully,1431,45122,100
24,289,MONTCARET,3,50,12/05/11,200034197,CC de Montaigne Montravel et Gurson,1429,24289,50
61,342,RAI,3,100,06/10/20,200068468,CC des Pays de L'Aigle,1427,61342,100
33,339,PRIGNAC-ET-MARCAMPS,3,100,27/06/07,243301223,CC du Grand Cubzaguais,1420,33339,100
38,068,CHAMPAGNIER,3,50,28/08/23,200040715,Grenoble-Alpes-Métropole,1406,38068,50
38,448,ST PRIM,3,50,10/12/20,200085751,CC Entre Bièvre et Rhône,1406,38448,50
71,212,GENELARD,3,100,08/08/08,247100290,CU Le Creusot Montceau-les-Mines,1397,71212,100
